feature_num,feature_name,mean_upstairs,mean_downstairs,mean_difference,t_statistic,p_value,cohens_d,separation_ratio,std_upstairs,std_downstairs
10,tBodyAcc-max()-X,-0.01097109374778192,0.442294115098073,0.4532652088458549,51.32671845056953,0.0,2.268124190354239,2.2690469630253545,0.20545895227798883,0.19406138908559833
215,tGravityAccMag-std(),-0.23555173691038211,0.14463683587205883,0.38018857278244095,49.584175674459374,0.0,2.173867221062942,2.2021012743292405,0.1447321336530957,0.20056404050041693
202,tBodyAccMag-std(),-0.23555173691038211,0.14463683587205883,0.38018857278244095,49.584175674459374,0.0,2.173867221062942,2.2021012743292405,0.1447321336530957,0.20056404050041693
505,fBodyAccMag-mad(),-0.23061615958854054,0.14840275162350913,0.37901891121204967,48.1548556373156,0.0,2.1122287948051857,2.13570044170789,0.15093803090923152,0.20399836709552183
503,fBodyAccMag-mean(),-0.2488359907132712,0.17106546434421907,0.41990145505749027,48.184999180383315,0.0,2.1108948756858537,2.1453275506568406,0.16023193329066568,0.23122479760750897
508,fBodyAccMag-sma(),-0.2488359907132712,0.17106546434421907,0.41990145505749027,48.184999180383315,0.0,2.1108948756858537,2.1453275506568406,0.16023193329066568,0.23122479760750897
90,tBodyAccJerk-max()-X,-0.514097904346878,-0.0554359354821288,0.4586619688647492,47.64973010366733,0.0,2.0783790971908274,2.170988201684718,0.14750123925406736,0.27503626536408027
509,fBodyAccMag-energy(),-0.6926173477632805,-0.3199717326511156,0.37264561511216493,47.24737208314968,0.0,2.058215708417042,2.1750071100779103,0.11279982433911151,0.2298616898858381
229,tBodyAccJerkMag-mad(),-0.4286742918026096,-0.04089029570517242,0.38778399609743713,45.52521314319097,1.2612754085e-313,1.9914647189096348,2.0389558376959016,0.14840538618303933,0.2319696947522617
504,fBodyAccMag-std(),-0.3491713215647717,-0.05197549171749493,0.29719582984727677,45.300834584024535,2.049625318472e-311,1.9872284180032036,2.008628670428105,0.12618699810930803,0.16973213719116706
517,fBodyBodyAccJerkMag-std(),-0.43991027275418454,-0.038799912358397366,0.4011103603957872,44.85442579565495,5.131028619135252e-307,1.9628857278228131,2.0054201934898073,0.15814952810626212,0.2418767222500165
216,tGravityAccMag-mad(),-0.32703167124818266,-0.007660763971659231,0.31937090727652345,44.55099451253116,5.008765099363034e-304,1.9538755919234025,1.9766209408340287,0.13684868083908752,0.18629967854650495
203,tBodyAccMag-mad(),-0.32703167124818266,-0.007660763971659231,0.31937090727652345,44.55099451253116,5.008765099363034e-304,1.9538755919234025,1.9766209408340287,0.13684868083908752,0.18629967854650495
204,tBodyAccMag-max(),-0.16429181481467475,0.19146884211086207,0.3557606569255368,43.25857901639314,2.6762630983766594e-291,1.900460294740108,1.9120482990477052,0.16548426505140387,0.20664091286540756
217,tGravityAccMag-max(),-0.16429181481467475,0.19146884211086207,0.3557606569255368,43.25857901639314,2.6762630983766594e-291,1.900460294740108,1.9120482990477052,0.16548426505140387,0.20664091286540756
272,fBodyAcc-mad()-X,-0.21056661209930103,0.17086422609648072,0.3814308381957817,43.22093158323742,6.281686347944285e-291,1.8973125020873516,1.913242388391759,0.17347504285670765,0.22525210255750416
234,tBodyAccJerkMag-iqr(),-0.519419149607642,-0.18119873666053143,0.3382204129471106,43.21341031742853,7.449086383747611e-291,1.8891102731745235,1.9415724227402755,0.13286117049448914,0.21553728097877545
4,tBodyAcc-std()-X,-0.22107244590790306,0.13984682430392595,0.360919270211829,43.08887826514712,1.2522701734274279e-289,1.8877600188568755,1.918020059996323,0.15434557994615075,0.2220000877010571
228,tBodyAccJerkMag-std(),-0.38735343572273995,0.003197431230020281,0.3905508669527602,42.983857836704246,1.352476913419587e-288,1.8818356617305367,1.9183644295095434,0.16327786567320327,0.2438928061274342
266,fBodyAcc-mean()-X,-0.28547749536832245,0.07135594058599391,0.3568334359543164,42.33713846092119,3.1036121408550685e-282,1.8576847049406122,1.8760373529182246,0.16340361170870493,0.21700825505039661
511,fBodyAccMag-entropy(),0.45983048064305687,0.6802247976572008,0.22039431701414391,41.44073043459965,1.982369012773397e-273,1.8319879619797441,1.8333068727533228,0.12477933693525568,0.11565429706930955
519,fBodyBodyAccJerkMag-max(),-0.5340406176986953,-0.1466934391474645,0.3873471785512308,41.50821966148871,4.31300047440845e-274,1.8156356291109015,1.8595634689478684,0.16220322871530865,0.2543968872080629
518,fBodyBodyAccJerkMag-mad(),-0.3611691531452004,0.03765600336707911,0.39882515651227946,41.08896048532482,5.600192700593532e-270,1.7985386811263773,1.8351952664568532,0.17322084663814258,0.26141972117321366
74,"tGravityAcc-arCoeff()-Z,1",-0.6418679531335042,-0.30795632627133873,0.33391162686216547,40.83163572564318,1.86581448170037e-267,1.7865076216299633,1.8270698108626569,0.14359275125581997,0.22192325113688668
7,tBodyAcc-mad()-X,-0.2799190387282013,0.0731568394229716,0.3530758781511729,40.72902296445988,1.8896134881784164e-266,1.7818569596934473,1.8232195517347372,0.15168725070329847,0.23562307364344312
